,title,date,keywords_textrank,ai_entity,day,month,year,status
40,"A hop, skip and a jump on the moon — and beyond",2010-08-18,"['hopper', 'talaris', 'hop', 'hopping', 'explored', 'explorer', 'explore', 'exploration', 'test', 'tested']",information extraction,18,8,2010,precovid
41,Robot Teaches Itself to Fire a Bow and Arrow,2010-09-27,"['robotic', 'humanoid robot', 'icub', 'iteratively', 'iteration', 'iterative', 'attempt']",handwriting recognition,27,9,2010,precovid
42,Digital Creatures Evolve Firefly Flashing,2010-11-29,"['synchronized', 'synchronization', 'synchronize', 'avidians', 'avidian', 'knoester', 'mckinley', 'avida']",language identification,29,11,2010,precovid
43,iRobot to the rescue,2011-03-28,"['robot', 'dyer', 'japan', 'irobot', 'company']",robotics,28,3,2011,precovid
44,Flying like the birds,2011-04-09,"['uav', 'uavs', 'research', 'researcher', 'plane', 'tedrake', 'control']",nlp,9,4,2011,precovid
45,Developer of Robot Scientist Wants to Standardize Science,2011-04-13,"['adam', 'science', 'king', 'data', 'work']",cybernetics,13,4,2011,precovid
46,"Are you there Skynet? It's Me, Kristen.",2011-04-20,"['make time', 'day', 'planning making', 'planned', 'cooky']",data mining,20,4,2011,precovid
47,Speeding swarms of sensor robots,2011-05-03,"['researcher', 'research', 'sensor', 'algorithm', 'robotics', 'robot', 'robotic', 'change']",robotics,3,5,2011,precovid
48,Autonomous Robots Move in Formation to Spell Words,2011-05-09,"['robotics', 'robotic', 'group robot', 'formation', 'information', 'working', 'work']",information extraction,9,5,2011,precovid
49,Honing household helpers,2011-05-26,"['robotics', 'robot able', 'planning', 'plan', 'say', 'saying', 'approach']",nlp,26,5,2011,precovid
50,"Cookies, anyone?",2011-06-06,"['cooky', 'cookie', 'pr robot', 'robotics', 'mixing', 'mix', 'task']",robotics,6,6,2011,precovid
51,"‘Smart cars’ that are actually, well, smart",2011-06-14,"['car', 'vehicle', 'driver', 'human', 'say']",speech generating device,14,6,2011,precovid
52,Why Brains Get Creeped Out by Androids,2011-07-19,"['robot', 'robotics', 'robotic', 'brain', 'like', 'human', 'android']",robotics,19,7,2011,precovid
53,Computer Beats PC Game After Reading Manual,2011-07-20,"['game', 'manual', 'better', 'software', 'time']",knowledge management,20,7,2011,precovid
54,Shah returns to CSAIL,2011-08-04,"['robotics', 'robot', 'human', 'shah', 'robotic planning', 'work', 'working', 'plan']",nlp,4,8,2011,precovid
55,Foolproof and Incapable of Error: RIP John McCarthy,2011-10-26,['coming end era dawn new'],knowledge management,26,10,2011,precovid
56,11 Who Died in 2011 (And Were Not Named Steve),2011-12-29,"['year', 'company', 'work', 'worked', 'working', 'photo', 'technology']",handwriting recognition,29,12,2011,precovid
57,Robotic Aircraft Controlled by Human Hand Gestures,2012-03-16,"['handful', 'hand gesture body', 'crew', 'song']",neural modeling fields ,16,3,2012,precovid
58,Artificial Intelligence Could Be on Brink of Passing Turing Test,2012-04-12,"['turing', 'human', 'said', 'machine', 'intelligence', 'intelligent']",intelligent agent,12,4,2012,precovid
59,Can an Algorithm Write a Better News Story Than a Human Reporter?,2012-04-24,"['story', 'company', 'hammond', 'data', 'narrative']",virtual reality,24,4,2012,precovid
60,Prepare For Robot Overlords,2012-05-15,"['robot', 'robotics', 'human', 'programmed', 'program', 'programming', 'u', 'like', 'likely']",robotics,15,5,2012,precovid
61,Daniela Rus named CSAIL director,2012-05-22,"['ru', 'csail', 'robotics', 'robot', 'research', 'mit']",robotics,22,5,2012,precovid
62,Is that smile real or fake?,2012-05-25,"['smile', 'smiling', 'say', 'frustration', 'frustrated people', 'hoque']",information extraction,25,5,2012,precovid
63,DarwinTunes 'Evolves' Music From Noise,2012-06-19,"['music', 'musical', 'darwintunes', 'maccallum', 'composer', 'loop']",question answering,19,6,2012,precovid
64,How to Pass the Turing Artificial Intelligence Test,2012-06-19,"['turing test', 'tested', 'machine', 'judge', 'intelligent', 'intelligence']",intelligent agent,19,6,2012,precovid
65,Why the Turing Test Is a Flawed Benchmark,2012-06-19,"['human', 'turing', 'machine', 'intelligence', 'intelligent', 'time']",intelligent word recognition,19,6,2012,precovid
66,Google's Artificial Brain Learns to Find Cat Videos,2012-06-26,"['learning', 'learned', 'learn', 'cat', 'google', 'image', 'neuron']",game artificial intelligence,26,6,2012,precovid
67,Robots Compete for Soccer World Domination,2012-06-28,"['robotic', 'robot', 'robotics', 'robocup', 'video', 'v', 'final']",artificial life,28,6,2012,precovid
68,"Computer Watches Humans Play Connect Four, Then Beats Them",2012-07-10,"['learning', 'learn', 'kaiser', 'game', 'formula', 'playing', 'play']",deep learning,10,7,2012,precovid
69,UC Berkeley joins edX,2012-07-24,"['course', 'edx', 'mit', 'teaching', 'teach', 'professor']",language identification,24,7,2012,precovid
70,Next-Gen Siri Uses Power of Conversation to Teach Kids to Code,2012-08-01,"['siri', 'game', 'gaming', 'kuato', 'like', 'code', 'coding']",automation,1,8,2012,precovid
71,"Google Goes After Siri, Merges Gmail With Web Search",2012-08-08,"['google', 'googling', 'search apps', 'app', 'mean', 'meaning', 'understanding', 'understand', 'understands']",handwriting recognition,8,8,2012,precovid
72,Scanning Your Home With Kinect Could Improve 3-D Robot Vision,2012-08-28,"['model', 'modeling', 'kinect', 'data', 'aydemir', 'robot']",robotics,28,8,2012,precovid
73,Paging Dr. Watson: Artificial Intelligence As a Prescription for Health Care,2012-10-16,"['watson', 'doctor', 'said', 'information', 'informal', 'clinical']",pattern recognition,16,10,2012,precovid
74,The robotic equivalent of a Swiss army knife,2012-11-30,"['shape', 'fold', 'folded', 'folding', 'power', 'powerful', 'researcher', 'research', 'robot', 'robotic', 'robotics']",robotics,30,11,2012,precovid
75,Big medical data,2013-01-25,"['data', 'group', 'medical', 'medically', 'research', 'researcher', 'researching', 'technique']",image processing,25,1,2013,precovid
76,Hakitzu-Promising AI Platform Blurs Lines Between Gaming and Learning,2013-03-26,"['hakitzu', 'gaming', 'game', 'frank', 'learning', 'learn', 'player']",language identification,26,3,2013,precovid
77,These Cake-Feasting Robot Eyes Could Kill the Barcode,2013-04-04,"['bread', 'like', 'bakery', 'barcode', 'price']",speech recognition,4,4,2013,precovid
78,'Chinese Google' Opens Artificial-Intelligence Lab in Silicon Valley,2013-04-12,"['baidu google', 'search', 'learning', 'learn', 'building', 'build']",semantic search,12,4,2013,precovid
79,"Turing Test Foretold GPS, Algorithms",2013-04-16,"['turing', 'computing', 'people', 'program', 'life']",artificial life,16,4,2013,precovid
80,How Ray Kurzweil Will Help Google Make the Ultimate AI Brain,2013-04-25,"['brain', 'people', 'intelligence', 'intelligent', 'google', 'einstein']",question answering,25,4,2013,precovid
81,"Scientists Build Baseball-Playing Robot With 100,000-Neuron Fake Brain",2013-04-26,"['robot', 'robotic', 'brain', 'scientist', 'researcher', 'research', 'gpu']",robotics,26,4,2013,precovid
82,The Man Behind the Google Brain: Andrew Ng and the Quest for the New AI,2013-05-07,"['brain', 'like', 'ng', 'build', 'building', 'engineer']",deep learning,7,5,2013,precovid
83,Now You Can Build Google's $1M Artificial Brain on the Cheap,2013-06-17,"['researcher', 'research', 'gpus', 'build', 'building', 'computing', 'computational', 'computation', 'ng']",automation,17,6,2013,precovid
84,Researcher Dreams Up Machines That Learn Without Humans,2013-06-27,"['bengio', 'learning', 'learns', 'learned', 'learn like', 'data', 'new']",neural modeling fields ,27,6,2013,precovid
85,Software Is Still King. Hardware Is Just Along for the Ride,2013-07-08,"['dropcam', 'dropcams', 'camera', 'hardware', 'duffy', 'video']",semantic search,8,7,2013,precovid
86,Your Smartphone Gains a Mind of Its Own,2013-07-16,"['app', 'apps', 'like', 'liked', 'likely', 'information', 'ai', 'travel', 'traveling']",intelligent agent,16,7,2013,precovid
87,Four from MIT named to ‘AI’s 10 to Watch’ list,2013-08-09,"['robotics', 'robot', 'robotic', 'researcher', 'research', 'work', 'working', 'worked', 'list', 'lab']",robotics,9,8,2013,precovid
88,"Tech Time Warp of the Week: Shakey the Robot, 1966",2013-09-27,"['shakey', 'robot', 'robotics', 'researcher', 'research', 'intelligence', 'intelligent', 'planning', 'plan']",robotics,27,9,2013,precovid
89,These Guys Are Teaching Computers How to Think Like People,2013-10-10,"['word', 'saying', 'say', 'socher', 'nasent', 'human']",semantic translation,10,10,2013,precovid
90,"Tech Time Warp of the Week: Jim Henson's Muppet Computer, 1963",2013-10-11,"['h', 'machine', 'film', 'henson', 'bell']",semantic search,11,10,2013,precovid
91,Why Facebook Is Teaching Its Machines to Think Like Humans,2013-10-23,"['facebook', 'like', 'language', 'word', 'algorithm']",natural language processing,23,10,2013,precovid
92,CAPTCHA Busted? AI Company Claims Break of Internet's Favorite Protection System,2013-10-28,"['captcha', 'captchas', 'vicarious', 'algorithm', 'image', 'distorted', 'distortion']",information extraction,28,10,2013,precovid
93,Machine learning branches out,2013-11-14,"['node', 'graph', 'algorithm', 'information', 'data']",information extraction,14,11,2013,precovid
94,Giant Fembots Dance With Dinosaurs in the Weirdest Show on Earth,2013-11-15,"['robotic', 'robotics', 'japanese', 'robot restaurant', 'like', 'light']",automatic target recognition,15,11,2013,precovid
95,Facebook's 'Deep Learning' Guru Reveals the Future of AI,2013-12-12,"['learning', 'learn', 'work facebook', 'worked', 'working', 'new', 'ai']",handwriting recognition,12,12,2013,precovid
96,"Tech Time Warp of the Week: SAM the Intelligent Robot, 1989",2013-12-20,"['sam', 'robot', 'robotic', 'robotics', 'object', 'research', 'engineer']",deep learning,20,12,2013,precovid
97,"Tech Time Warp of the Week: AT&T's Flight Information System, 1989",2013-12-27,"['flight', 'researcher', 'research', 'language', 'lab', 'travel']",natural language processing,27,12,2013,precovid
98,Meet the Man Google Hired to Make AI a Reality,2014-01-16,"['hinton', 'work', 'working', 'brain worked', 'researcher', 'research', 'say', 'saying']",semantic search,16,1,2014,precovid
99,Marvin Minsky honored for lifetime achievements in artificial intelligence,2014-01-17,"['minsky', 'award', 'human', 'artificial intelligence']",game artificial intelligence,17,1,2014,precovid
100,Google's Grand Plan to Make Your Brain Irrelevant,2014-01-27,"['google', 'company', 'web', 'intelligence', 'brain']",intelligent agent,27,1,2014,precovid
101,The Questions That Computers Can Never Answer,2014-02-05,"['p', 'program', 'turing', 'loop', 'looping', 'q']",pattern recognition,5,2,2014,precovid
102,Rise of the compliant machines,2014-02-20,"['robotics', 'robot', 'robotic', 'meka', 'edsinger', 'research', 'researcher', 'designed', 'designing', 'design', 'designer']",robotics,20,2,2014,precovid
103,Can a Computer Fall in Love if It Doesn't Have a Body?,2014-02-28,"['love', 'loving', 'loved', 'feel', 'feeling emotion', 'said', 'emotional', 'body']",automation,28,2,2014,precovid
104,Tech Time Warp of the Week: Watch Intel Supercharge Homer Simpson's Brain,2014-03-28,"['homer', 'intel chip', 'pentium', 'brain']",artificial intelligence diagnosis,28,3,2014,precovid
105,It's Comedian vs. Computer in a Battle for Humor Supremacy,2014-04-01,"['joke', 'humor', 'humorous', 'photo', 'programmed', 'program make', 'making']",computer game,1,4,2014,precovid
106,The World's Smartest Toy Cars Just Got Supercharged,2014-04-16,"['car', 'race', 'racing', 'course', 'track', 'anki']",semantic search,16,4,2014,precovid
107,Who did what?,2014-05-14,"['algorithm', 'video', 'action', 'subactions', 'subactivities', 'pirsiavash']",pattern recognition,14,5,2014,precovid
108,Man Behind the 'Google Brain' Joins Chinese Search Giant Baidu,2014-05-16,"['baidu', 'ng', 'learning', 'learn', 'ai', 'research', 'researcher']",handwriting recognition,16,5,2014,precovid
109,Artificial Intelligence Is Now Telling Doctors How to Treat You,2014-06-02,"['patient', 'medication doctor', 'data', 'medical information', 'informed']",automatic number plate recognition,2,6,2014,precovid
110,That Computer Actually Got an F on the Turing Test,2014-06-09,"['turing test', 'goostman', 'program', 'intelligence', 'intelligent']",intelligent agent,9,6,2014,precovid
111,You Should Learn to Trust Robots. It's for Your Own Good,2014-06-10,"['robot', 'robotic', 'machine', 'trust', 'trusted', 'making', 'make', 'junior']",robotics,10,6,2014,precovid
112,The Future of Computer Intelligence Is Everything but Artificial,2014-06-11,"['like', 'human', 'robotics robot', 'robotic', 'way', 'learning', 'learn']",robotics,11,6,2014,precovid
113,Forget the Turing Test: Here's How We Could Actually Measure AI,2014-06-12,"['human', 'turing test', 'machine', 'intelligence', 'intelligent']",intelligent agent,12,6,2014,precovid
114,A Crafty Machine That Can Decipher Images on Pinterest and Instagram,2014-06-23,"['image', 'company', 'text', 'say', 'pinterest']",silent speech interface,23,6,2014,precovid
115,Machines Finally Match Monkeys in Key Image-Recognition Test,2014-07-03,"['image', 'brain', 'human', 'test', 'tested', 'cadieu']",e-mail spam filtering,3,7,2014,precovid
116,Microsoft Challenges Google's Artificial Brain With 'Project Adam',2014-07-14,"['adam', 'microsoft', 'machine', 'say', 'work', 'worked', 'working']",robotics,14,7,2014,precovid
117,Tech Time Warp of the Week: Watch Steve Jobs Talk About Turning a Genius' Brain Into a Computer,2014-07-25,"['learned', 'learn', 'learning', 'software', 'steve job', 'make']",machine learning,25,7,2014,precovid
118,Collecting just the right data,2014-07-25,"['levine', 'node', 'data', 'graph', 'measurement', 'measuring']",image processing,25,7,2014,precovid
119,"IBM Unveils a 'Brain-Like' Chip With 4,000 Processor Cores",2014-08-07,"['chip', 'say', 'brain', 'ibm', 'researcher', 'research']",semantic search,7,8,2014,precovid
120,Facebook's Quest to Build an Artificial Brain Depends on This Guy,2014-08-14,"['lecun', 'work', 'worked', 'working', 'network', 'learning', 'learn', 'learned', 'learns', 'say']",language identification,14,8,2014,precovid
121,Want a happy worker? Let robots take control.,2014-08-21,"['robot', 'robotics', 'human task', 'gombolay', 'say']",robotics,21,8,2014,precovid
122,The Plan to Build a Massive Online Brain for All the World's Robots,2014-08-25,"['robot', 'robotics', 'robotic', 'robobrain', 'robobrainer', 'say', 'like', 'research', 'researcher']",semantic search,25,8,2014,precovid
123,These Two Magic Tricks Were Designed by AI Machines,2014-11-18,"['card', 'like', 'likely', 'magician', 'researcher', 'magic', 'magically']",machine learning,18,11,2014,precovid
124,"Algorithms Are Great and All, But They Can Also Ruin Lives",2014-11-19,"['algorithm', 'algorithmic', 'problem', 'people', 'result', 'individual']",facial recognition,19,11,2014,precovid
125,A Googler's Quest to Teach Machines How to Understand Emotions,2014-12-02,"['word', 'le', 'google', 'machine', 'learning', 'learn']",semantic search,2,12,2014,precovid
126,Computers that teach by example,2014-12-05,"['algorithm', 'learns', 'learning', 'learn', 'learned', 'make', 'making', 'new', 'data']",data mining,5,12,2014,precovid
127,CSAIL opens lab to 150 local students for Hour of Code,2014-12-12,"['student', 'code', 'coding', 'programming', 'program', 'csail', 'learning', 'learn']",language identification,12,12,2014,precovid
128,Dato Joins New Wave of Machine Learning Startups,2015-01-08,"['guestrin', 'dato', 'software', 'analysis', 'learning', 'learn']",language identification,8,1,2015,precovid
129,The AI Bot That Scans Your Email and Automatically Schedules Meetings,2015-01-12,"['mortensen', 'emailing', 'meeting email', 'meet', 'say', 'amy']",game artificial intelligence,12,1,2015,precovid
130,Elon Musk Donates $10M to Keep AI From Turning Evil,2015-01-15,"['ai', 'research', 'researcher', 'musk', 'future', 'program']",artificial life,15,1,2015,precovid
131,Software that knows the risks,2015-01-16,"['problem', 'constraint', 'software', 'planner', 'represent', 'represented', 'represents', 'representing']",information extraction,16,1,2015,precovid
132,"AI Has Arrived, and That Really Worries the World's Brightest Minds",2015-01-16,"['ai', 'robot', 'robotics', 'tallinn google', 'musk']",robotics,16,1,2015,precovid
133,Facebook Open-Sources a Trove of AI Tools,2015-01-16,"['facebook', 'researcher', 'research', 'say', 'algorithm', 'learning', 'learn']",semantic search,16,1,2015,precovid
134,This Guy Beat Google's Super-Smart AI—But It Wasn't Easy,2015-01-21,"['test', 'testing', 'image', 'karpathy', 'ai', 'say']",intelligent agent,21,1,2015,precovid
135,This Startup Helps Companies Persuade You to Buy Anything,2015-01-22,"['persado', 'message', 'company', 'vratskides messaging', 'say']",image processing,22,1,2015,precovid
136,"The Internet of Anything: A Virtual Assistant for Your Gadgets, From Phones to Refrigerators",2015-01-26,"['nigel', 'company', 'kimera', 'like', 'shita']",intelligent agent,26,1,2015,precovid
137,The Startup That Helps You Analyze Twitter Chatter in Real Time,2015-02-12,"['company', 'saying', 'say', 'compass', 'tool', 'havasi']",data mining,12,2,2015,precovid
138,Can an LED-filled “robot garden” make coding more accessible?,2015-02-18,"['robotic', 'robotics', 'robot garden', 'say', 'algorithm', 'paper']",pattern recognition,18,2,2015,precovid
139,App Uses Powerful AI to Find Perfect Places for You to Eat,2015-02-23,"['luka', 'like', 'conversation', 'conversational', 'company', 'restaurant']",facial recognition,23,2,2015,precovid
140,Better machine learning,2015-02-24,"['data', 'veeramachaneni', 'say', 'variable', 'alfa']",machine learning,24,2,2015,precovid
141,Google's AI Is Now Smart Enough to Play Atari Like the Pros,2015-02-25,"['google', 'deepmind', 'saying', 'say', 'robot', 'robotics', 'research', 'researcher']",robotics,25,2,2015,precovid
142,"In the Future, Robots Will Write News That's All About You",2015-03-06,"['company', 'data', 'insight', 'created', 'create', 'creating', 'say']",pattern recognition,6,3,2015,precovid
143,How AI Can Calculate Our Oil Surplus...From Space,2015-03-16,"['satellite photo', 'company', 'crawford', 'say']",automatic number plate recognition,16,3,2015,precovid
144,Ex Machina Has a Serious Fembot Problem,2015-04-09,"['ava', 'robot', 'robotic', 'robotics', 'way', 'woman', 'male']",robotics,9,4,2015,precovid
145,Graphics in reverse,2015-04-13,"['researcher', 'research', 'program', 'probabilistic programming', 'model', 'modeling', 'learning', 'learn']",semantic search,13,4,2015,precovid
146,Harnessing AI to Make Your Boring Bank Statements Useful,2015-04-15,"['bank', 'banking', 'apps', 'app', 'say', 'moneystream', 'kasisto']",computer game,15,4,2015,precovid
147,"Finally, Neural Networks That Actually Work",2015-04-21,"['dean', 'google', 'neuron', 'learn', 'learning', 'company']",machine learning,21,4,2015,precovid
148,Computers That Know How You Feel Will Soon Be Everywhere,2015-04-22,"['affectiva', 'software', 'say', 'saying', 'development', 'developer', 'developed', 'kaliouby']",knowledge management,22,4,2015,precovid
149,Human Smarts Plus AI Could Unlock Computer Vision,2015-04-29,"['zensors', 'image', 'human question', 'developed', 'developing', 'develop']",question answering,29,4,2015,precovid
150,Can't Find the Good Stuff on Periscope? Maybe AI Can Help,2015-05-05,"['video', 'company', 'dextro', 'like', 'luan']",natural language processing,5,5,2015,precovid
151,MIT engineers hand “cognitive” control to underwater robots,2015-05-06,"['robot', 'robotics', 'williams', 'engineer', 'mission plan', 'planning']",robotics,6,5,2015,precovid
152,Object recognition for free,2015-05-08,"['network', 'research', 'researcher', 'object', 'scene', 'image']",silent speech interface,8,5,2015,precovid
153,Humans Out-Play an AI at Texas Hold 'Em—For Now,2015-05-21,"['claudico', 'betting', 'bet', 'human', 'hand', 'say']",intelligent agent,21,5,2015,precovid
154,Neuroscientists Are Making an Artificial Brain for Everyone,2015-05-22,"['nara', 'say', 'wilson', 'company', 'user']",question answering,22,5,2015,precovid
155,This Artificial Intelligence Pioneer Has a Few Concerns,2015-05-23,"['thinking machine', 'think', 'human', 'intelligence', 'intelligent', 'program']",intelligent agent,23,5,2015,precovid
156,Helping robots put it all together,2015-05-27,"['robot', 'robotics', 'planning', 'plan', 'algorithm', 'grasping', 'grasp', 'assembly', 'assembled', 'assemble', 'assembling']",robotics,27,5,2015,precovid
157,Startup Aims to Make Silicon Valley an Actual Meritocracy,2015-05-27,"['gradberry', 'code', 'coding', 'candidate', 'hire', 'hired', 'hiring', 'company']",handwriting recognition,27,5,2015,precovid
158,This Little Robot Wants to Be Your Best Friend,2015-06-01,"['robotic', 'robot', 'musio', 'conversation', 'conversational', 'converse', 'voice', 'company']",semantic translation,1,6,2015,precovid
159,Helping robots handle uncertainty,2015-06-02,"['robot', 'robotic', 'robotics', 'agent', 'action', 'probably', 'probability', 'probable', 'researcher', 'research']",information extraction,2,6,2015,precovid
160,Facebook Opens a Paris Lab as AI Research Goes Global,2015-06-02,"['ai', 'research', 'researcher', 'lecun', 'new', 'professor']",artificial life,2,6,2015,precovid
161,Startup Unleashes Its Clone of Google's 'Knowledge Graph',2015-06-04,"['google', 'say', 'company', 'like', 'data']",game artificial intelligence,4,6,2015,precovid
162,MIT team places sixth at international DARPA Robotics Challenge,2015-06-08,"['robot', 'robotics', 'team researcher', 'task', 'research', 'say']",robotics,8,6,2015,precovid
163,Facebook's AI Tool for Squashing Bugs Is Now Open to All,2015-06-11,"['hearn', 'company', 'infer', 'researcher', 'research', 'code']",semantic search,11,6,2015,precovid
164,Rise of the Robots: How Far Will They Go?,2015-06-15,"['robot', 'robotic', 'book', 'future', 'think', 'job']",object recognition,15,6,2015,precovid
165,"Facebook's New AI Can Paint, But Google's Knows How to Party",2015-06-19,"['image', 'network', 'google', 'work', 'working', 'say']",handwriting recognition,19,6,2015,precovid
166,Google Made a Chatbot That Debates the Meaning of Life,2015-06-26,"['machine', 'human', 'say', 'research', 'researcher', 'converse', 'conversation', 'conversational']",semantic translation,26,6,2015,precovid
167,"With Bots Like These, Who Needs Friends?",2015-06-29,"['service', 'people', 'say', 'like', 'likely', 'text', 'texted', 'texting']",intelligent agent,29,6,2015,precovid
168,Helping students stick with MOOCs,2015-07-01,"['course', 'predict student', 'variable', 'prediction model']",intelligent word recognition,1,7,2015,precovid
169,What if You Trained Google's Chatbot on Mein Kampf ?,2015-07-02,"['ai', 'say', 'thinking', 'think', 'researcher', 'learn', 'learned', 'learning']",machine learning,2,7,2015,precovid
